TradeID,Buy_Time,Sell_Time,Symbol,Buy_Price,Sell_Price,Contracts,ProfitLoss,ProfitPercent,Profitable,Buy_Comm,Sell_Comm
1,1/3/2023 09:30:38,1/3/2023 09:31:41,SPY 230104P385,2.98,3.2,1,22.0,7.38%,1,1.0,1.0
2,1/3/2023 09:37:07,1/3/2023 09:37:42,SPY 230104C385,2.36,2.27,1,-9.0,-3.81%,0,1.0,1.0
3,1/3/2023 09:43:37,1/3/2023 09:44:19,SPY 230104P385,1.93,2.1,2,34.0,8.81%,1,2.0,2.0
4,1/4/2023 09:31:10,1/4/2023 09:31:28,SPY 230105C383,2.71,2.6,2,-22.0,-4.06%,0,2.0,2.0
5,1/5/2023 09:30:31,1/5/2023 09:30:37,SPY 230106C382,2.93,2.85,1,-8.0,-2.73%,0,1.0,1.0
6,1/5/2023 09:30:51,1/5/2023 09:31:03,SPY 230106C382,2.95,2.85,1,-10.0,-3.39%,0,1.0,1.0
7,1/6/2023 09:30:38,1/6/2023 09:30:43,SPY 230109C383,2.35,2.27,1,-8.0,-3.40%,0,1.0,1.0
8,1/6/2023 09:30:59,1/6/2023 09:31:06,SPY 230109C383,2.34,2.21,1,-13.0,-5.56%,0,1.0,1.0
9,1/9/2023 09:30:46,1/9/2023 09:31:08,SPY 230110C390,2.39,2.37,1,-2.0,-0.84%,0,1.0,1.0
10,1/9/2023 09:31:38,1/9/2023 09:31:43,SPY 230110C390,2.46,2.34,1,-12.0,-4.88%,0,1.0,1.0
11,1/10/2023 09:30:59,1/10/2023 09:31:19,SPY 230113P385,3.55,3.42,1,-13.0,-3.66%,0,1.0,1.0
12,1/11/2023 09:33:32,1/11/2023 09:34:37,SPY 230112C395,2.83,2.86,1,3.0,1.06%,1,1.0,1.0
13,1/11/2023 09:42:07,1/11/2023 09:43:13,SPY 230112C393,4.02,4.24,1,22.0,5.47%,1,1.0,1.0
14,1/11/2023 09:44:02,1/11/2023 09:44:13,SPY 230112P392,3.62,3.59,1,-3.0,-0.83%,0,1.0,1.0
15,1/11/2023 09:44:42,1/11/2023 09:45:01,SPY 230112P392,3.65,3.56,1,-9.0,-2.47%,0,1.0,1.0
16,1/11/2023 09:45:13,1/11/2023 09:46:09,SPY 230112P392,3.64,3.65,1,1.0,0.27%,1,1.0,1.0
17,1/11/2023 09:46:32,1/11/2023 09:47:31,SPY 230112P392,3.66,3.69,1,3.0,0.82%,1,1.0,1.0
18,1/11/2023 09:48:54,1/11/2023 09:50:39,SPY 230112P392,3.62,3.7,1,8.0,2.21%,1,1.0,1.0
19,1/11/2023 09:57:32,1/11/2023 09:58:50,SPY 230112P392,3.82,3.97,1,15.0,3.93%,1,1.0,1.0
20,1/12/2023 09:33:41,01.12.2023 09:34:16,SPY 230113C396,2.44,2.34,2,-20.0,-4.10%,0,2.0,2.0
21,1/13/2023 9:31:50 ,1/13/2023 9:32:56 ,SPY 230117P392,1.47,1.56,1,9.0,6.12%,1,1.0,1.0
22,1/13/2023 9:31:50 ,1/13/2023 9:33:20 ,SPY 230117P392,1.47,1.59,1,12.0,8.16%,1,1.0,1.0
23,1/13/2023 9:43:11 ,1/13/2023 9:43:57 ,SPY 230117C395,1.7,1.81,1,11.0,6.47%,1,1.0,1.0
24,1/13/2023 9:43:11 ,1/13/2023 9:44:18 ,SPY 230117C395,1.7,1.71,1,1.0,0.59%,1,1.0,1.0
25,1/13/2023 9:52:05 ,1/13/2023 9:53:39 ,SPY 230117P394,1.86,1.8,2,-11.0,-2.96%,0,2.0,2.0
26,1/13/2023 9:53:57 ,1/13/2023 9:54:56 ,SPY 230117P394,1.86,1.78,2,-16.0,-4.30%,0,2.0,2.0
27,1/13/2023 9:55:15 ,1/13/2023 9:55:46 ,SPY 230117P394,1.86,1.77,2,-18.0,-4.84%,0,2.0,2.0
28,1/17/2023 9:30:09 ,1/17/2023 9:30:32 ,SPY 230118C400,1.51,1.45,2,-12.0,-3.97%,0,2.0,2.0
29,1/18/2023 9:32:51 ,1/18/2023 9:33:46 ,SPY 230119C399,1.89,1.97,1,8.0,4.23%,1,1.0,1.0
30,1/18/2023 9:32:51 ,1/18/2023 9:34:01 ,SPY 230119C399,1.89,1.81,1,-8.0,-4.23%,0,1.0,1.0
31,1/18/2023 9:38:03 ,1/18/2023 9:38:36 ,SPY 230119C399,1.7,1.78,1,8.0,4.71%,1,1.0,1.0
32,1/18/2023 9:38:03 ,1/18/2023 9:38:47 ,SPY 230119C399,1.7,1.67,1,-3.0,-1.76%,0,1.0,1.0
33,1/18/2023 9:44:10 ,1/18/2023 9:44:18 ,SPY 230120C400,1.78,1.65,2,-26.0,-7.30%,0,2.0,2.0
34,1/19/2023 9:31:16 ,1/19/2023 9:31:23 ,SPY 230120P388,1.51,1.45,2,-12.0,-3.97%,0,2.0,2.0
35,1/20/2023 9:43:45 ,1/20/2023 9:46:20 ,SPY 230123P389,1.76,1.89,1,13.0,7.39%,1,1.0,1.0
36,1/20/2023 9:43:45 ,1/20/2023 9:48:24 ,SPY 230123P389,1.76,1.74,1,-2.0,-1.14%,0,1.0,1.0
37,1/20/2023 9:49:52 ,1/20/2023 9:50:48 ,SPY 230123P389,1.83,1.76,2,-14.0,-3.83%,0,2.0,2.0
38,1/20/2023 9:55:31 ,1/20/2023 9:56:15 ,SPY 230123C390,1.77,1.88,1,11.0,6.21%,1,1.0,1.0
39,1/20/2023 9:55:31 ,1/20/2023 9:57:26 ,SPY 230123C390,1.77,2.01,1,24.0,13.56%,1,1.0,1.0
40,1/20/2023 10:01:41 ,1/20/2023 10:02:32 ,SPY 230123P389,1.71,1.61,2,-20.0,-5.85%,0,2.0,2.0
41,1/20/2023 10:03:44 ,1/20/2023 10:04:19 ,SPY 230123P389,1.62,1.55,2,-14.0,-4.32%,0,2.0,2.0
42,1/23/2023 9:32:18 ,1/23/2023 9:32:43 ,SPY 230124C397,1.56,1.67,1,11.0,7.05%,1,1.0,1.0
43,1/23/2023 9:32:18 ,1/23/2023 9:33:13 ,SPY 230124C397,1.56,1.64,1,8.0,5.13%,1,1.0,1.0
44,1/23/2023 9:40:22 ,1/23/2023 9:41:55 ,SPY 230124P395,1.31,1.4,1,9.0,6.87%,1,1.0,1.0
45,1/23/2023 9:40:22 ,1/23/2023 9:42:17 ,SPY 230124P395,1.31,1.25,1,-6.0,-4.58%,0,1.0,1.0
46,1/23/2023 9:53:58 ,1/23/2023 9:57:14 ,SPY 230124P397,1.44,1.54,1,10.0,6.94%,1,1.0,1.0
47,1/23/2023 9:53:58 ,1/23/2023 9:57:59 ,SPY 230124P397,1.44,1.52,1,8.0,5.56%,1,1.0,1.0
48,1/23/2023 10:06:21 ,1/23/2023 10:08:01 ,SPY 230124C398,1.79,1.85,1,6.0,3.35%,1,1.0,1.0
49,1/23/2023 10:06:21 ,1/23/2023 10:09:29 ,SPY 230124C398,1.79,1.83,1,4.0,2.23%,1,1.0,1.0
50,1/23/2023 10:33:39 ,1/23/2023 10:34:32 ,SPY 230124P399,1.73,1.68,2,-10.0,-2.89%,0,2.0,2.0
51,1/24/2023 9:31:34 ,1/24/2023 9:31:47 ,SPY 230125C399,2.0,1.94,2,-12.0,-3.00%,0,2.0,2.0
52,1/25/2023 9:33:15 ,1/25/2023 9:33:31 ,SPY 230126C396,2.04,1.98,2,-13.0,-3.18%,0,2.0,2.0
53,1/26/2023 9:39:58 ,1/26/2023 9:40:07 ,SPY 230127P402,1.49,1.36,2,-26.0,-8.72%,0,2.0,2.0
54,1/27/2023 9:49:23 ,1/27/2023 9:49:58 ,SPY 230130P405,1.98,2.06,1,8.0,4.04%,1,1.0,1.0
55,1/27/2023 9:49:23 ,1/27/2023 9:50:13 ,SPY 230130P405,1.98,1.91,1,-7.0,-3.54%,0,1.0,1.0
56,1/27/2023 9:51:27 ,1/27/2023 9:54:50 ,SPY 230130P405,1.92,1.83,2,-18.0,-4.69%,0,2.0,2.0
57,1/30/2023 9:39:53 ,1/30/2023 9:40:50 ,SPY 230131P403,1.74,1.81,1,7.0,4.02%,1,1.0,1.0
58,1/30/2023 9:39:53 ,1/30/2023 9:44:27 ,SPY 230131P403,1.74,1.8,1,6.0,3.45%,1,1.0,1.0
59,1/30/2023 9:48:36 ,1/30/2023 9:49:12 ,SPY 230131P404,1.85,1.94,1,9.0,4.86%,1,1.0,1.0
60,1/30/2023 9:48:44 ,1/30/2023 9:50:06 ,SPY 230131P404,1.88,1.88,1,0.0,0.00%,1,1.0,1.0
61,1/30/2023 9:50:35 ,1/30/2023 9:50:55 ,SPY 230131P404,1.89,1.98,1,9.0,4.76%,1,1.0,1.0
62,1/30/2023 9:50:35 ,1/30/2023 9:51:44 ,SPY 230131P404,1.89,1.9,1,1.0,0.53%,1,1.0,1.0
63,1/30/2023 9:53:15 ,1/30/2023 9:54:02 ,SPY 230131P404,1.89,1.96,1,7.0,3.70%,1,1.0,1.0
64,1/30/2023 9:53:15 ,1/30/2023 9:54:14 ,SPY 230131P404,1.89,2.12,1,23.0,12.17%,1,1.0,1.0
65,1/31/2023 10:02:23 ,1/31/2023 10:05:32 ,SPY 230201P401,3.04,3.04,1,0.0,0.00%,1,1.0,1.0
66,1/31/2023 10:06:41 ,1/31/2023 10:07:11 ,SPY 230201P401,2.96,2.8,1,-16.0,-5.41%,0,1.0,1.0
67,2/1/2023 09:55:25,2/1/2023 09:56:21,SPY 230202P406,3.2,3.37,1,17.0,5.31%,1,1.0,1.0
68,2/1/2023 10:15:07,2/1/2023 10:16:39,SPY 230202P405,3.04,3.23,1,19.0,6.25%,1,1.0,1.0
69,2/2/2023 09:32:01,2/2/2023 09:32:34,SPY 230203C415,2.53,2.65,1,12.0,4.74%,1,1.0,1.0
70,2/2/2023 09:48:33,2/2/2023 09:50:35,SPY 230203P412,1.77,1.81,1,4.0,2.26%,1,1.0,1.0
71,2/2/2023 09:48:33,2/2/2023 09:50:57,SPY 230203P412,1.77,1.81,1,4.0,2.26%,1,1.0,1.0
72,2/2/2023 10:00:56,2/2/2023 10:01:36,SPY 230203C415,2.1,2.17,1,7.0,3.33%,1,1.0,1.0
73,2/2/2023 10:00:56,2/2/2023 10:01:59,SPY 230203C415,2.1,2.4,1,30.0,14.29%,1,1.0,1.0
74,2/3/2023 09:30:51,2/3/2023 09:31:12,SPY 230206P411,1.8,1.89,1,8.5,4.71%,1,1.0,1.0
75,2/3/2023 09:30:51,2/3/2023 09:31:18,SPY 230206P411,1.8,1.79,1,-1.5,-0.83%,0,1.0,1.0
76,2/3/2023 09:32:10,2/3/2023 09:32:27,SPY 230206P411,1.74,1.67,1,-7.0,-4.02%,0,1.0,1.0
77,2/3/2023 09:40:38,2/3/2023 09:41:25,SPY 230206P413,2.08,1.96,2,-25.0,-6.00%,0,2.0,2.0
78,2/6/2023 09:41:45,2/6/2023 09:42:07,SPY 230207C411,2.0,2.06,1,6.0,3.00%,1,1.0,1.0
79,2/6/2023 09:41:45,2/6/2023 09:42:52,SPY 230207C411,2.0,2.0,1,0.0,0.00%,1,1.0,1.0
80,2/6/2023 09:50:00,2/6/2023 09:50:38,SPY 230207P409,1.99,1.91,2,-16.0,-4.02%,0,2.0,2.0
81,2/7/2023 09:56:31,2/7/2023 09:59:04,SPY 230208P408,1.97,2.04,2,14.0,3.55%,1,2.0,2.0
82,2/7/2023 10:05:56,2/7/2023 10:06:59,SPY 230208P408,1.98,1.94,2,-8.0,-2.02%,0,2.0,2.0
83,2/7/2023 10:28:35,2/7/2023 10:30:30,SPY 230208C410,1.81,1.9,1,9.0,4.97%,1,1.0,1.0
84,2/7/2023 10:28:35,2/7/2023 10:32:11,SPY 230208C410,1.81,1.96,1,15.0,8.29%,1,1.0,1.0
85,2/7/2023 10:52:02,2/7/2023 10:54:10,SPY 230208P408,1.83,1.93,2,20.0,5.46%,1,2.0,2.0
86,2/8/2023 09:38:04,2/8/2023 09:38:16,SPY 230209P413,1.85,1.75,2,-20.0,-5.41%,0,2.0,2.0
87,2/9/2023 09:42:10,2/9/2023 09:42:52,SPY 230210C414,1.97,1.89,2,-16.0,-4.06%,0,2.0,2.0
88,2/10/2023 09:36:26,2/10/2023 09:36:45,SPY 230213P405,1.8,1.89,1,9.0,5.00%,1,1.0,1.0
89,2/10/2023 09:36:26,2/10/2023 09:37:10,SPY 230213P405,1.8,1.8,1,0.0,0.00%,1,1.0,1.0
90,2/10/2023 09:46:05,2/10/2023 09:47:12,SPY 230213P405,1.95,2.05,1,10.0,5.13%,1,1.0,1.0
91,2/10/2023 09:46:05,2/10/2023 09:48:39,SPY 230213P405,1.95,2.02,1,7.0,3.59%,1,1.0,1.0
92,2/10/2023 09:50:10,2/10/2023 09:50:36,SPY 230213P405,1.9,1.83,2,-14.0,-3.68%,0,2.0,2.0
93,2/10/2023 10:04:08,2/10/2023 10:04:55,SPY 230213C406,2.15,2.26,1,11.0,5.12%,1,1.0,1.0
94,2/10/2023 10:04:08,2/10/2023 10:05:40,SPY 230213C406,2.15,2.51,1,36.0,16.74%,1,1.0,1.0
95,2/13/2023 9:39:06 ,2/13/2023 9:39:12 ,SPY 230213P408,1.03,0.99,2,-8.0,-3.88%,0,2.0,2.0
96,2/13/2023 10:00:58 ,2/13/2023 10:04:17 ,SPY 230215P410,4.02,4.01,1,-1.0,-0.25%,0,1.0,1.0
97,2/14/2023 9:44:45 ,2/14/2023 9:45:01 ,SPY 230215P410,2.02,1.95,2,-14.0,-3.47%,0,2.0,2.0
98,2/15/2023 9:34:35 ,2/15/2023 9:35:44 ,SPY 230216P410,1.8,1.75,2,-10.0,-2.78%,0,2.0,2.0
99,2/15/2023 10:17:11 ,2/15/2023 10:17:25 ,SPY 230216P410,1.75,1.66,1,-9.0,-5.14%,0,1.0,1.0
100,2/16/2023 9:32:16 ,2/16/2023 9:32:36 ,SPY 230217P409,2.08,2.15,1,7.0,3.37%,1,1.0,1.0
101,2/16/2023 9:32:16 ,2/16/2023 9:36:35 ,SPY 230217P409,2.08,2.53,1,45.0,21.63%,1,1.0,1.0
102,2/17/2023 9:46:13 ,2/17/2023 9:47:01 ,SPY 230217C405,1.61,1.69,1,8.0,4.97%,1,1.0,1.0
103,2/17/2023 9:46:13 ,2/17/2023 9:47:47 ,SPY 230217C405,1.61,1.83,1,22.0,13.66%,1,1.0,1.0
104,2/17/2023 9:51:22 ,2/17/2023 9:52:12 ,SPY 230217C405,1.58,1.53,2,-10.0,-3.16%,0,2.0,2.0
105,2/17/2023 10:02:47 ,2/17/2023 10:03:43 ,SPY 230221P403,1.81,1.68,2,-26.0,-7.18%,0,2.0,2.0
106,2/21/2023 9:30:49 ,2/21/2023 9:32:04 ,SPY 230222P403,2.07,2.18,1,11.0,5.31%,1,1.0,1.0
107,2/21/2023 9:30:49 ,2/21/2023 9:32:19 ,SPY 230222P403,2.07,2.09,1,2.0,0.97%,1,1.0,1.0
108,2/21/2023 9:53:46 ,2/21/2023 9:56:10 ,SPY 230222P403,2.14,2.3,1,16.0,7.48%,1,1.0,1.0
109,2/21/2023 9:53:46 ,2/21/2023 9:56:29 ,SPY 230222P403,2.14,2.43,1,29.0,13.55%,1,1.0,1.0
110,2/22/2023 9:41:11 ,2/22/2023 9:41:31 ,SPY 230222P400,1.61,1.52,2,-17.0,-5.28%,0,2.0,2.0
111,2/23/2023 9:37:17 ,2/23/2023 9:38:11 ,SPY 230224C402,1.79,1.72,2,-14.0,-3.91%,0,2.0,2.0
112,2/24/2023 10:08:16 ,2/24/2023 10:09:39 ,SPY 230227C396,1.86,1.84,2,-4.0,-1.08%,0,2.0,2.0
113,2/24/2023 10:37:25 ,2/24/2023 10:37:41 ,SPY 230227C395,2.01,1.95,2,-12.0,-2.99%,0,2.0,2.0
114,2/27/2023 9:53:40 ,2/27/2023 9:55:05 ,SPY 230228P399,1.6,1.59,2,-2.0,-0.62%,0,2.0,2.0
115,2/27/2023 10:09:31 ,2/27/2023 10:11:59 ,SPY 230228P401,1.86,1.94,1,8.0,4.30%,1,1.0,1.0
116,2/27/2023 10:09:31 ,2/27/2023 10:13:26 ,SPY 230228P401,1.86,1.89,1,3.0,1.61%,1,1.0,1.0
117,2/27/2023 10:31:00 ,2/27/2023 10:33:31 ,SPY 230228C401,1.78,1.76,1,-2.0,-1.12%,0,1.0,1.0
118,2/27/2023 10:34:30 ,2/27/2023 10:35:43 ,SPY 230228C401,1.73,1.67,2,-11.0,-3.19%,0,2.0,2.0
119,2/28/2023 9:31:45 ,2/28/2023 9:32:25 ,SPY 230301C397,2.11,2.04,2,-14.0,-3.32%,0,2.0,2.0
120,3/1/2023 09:32:24,3/1/2023 09:32:44,SPY 230302P395,1.74,1.68,2,-12.0,-3.45%,0,2.0,2.0
121,3/2/2023 09:36:30,3/2/2023 09:37:29,SPY 230303C393,1.97,1.9,2,-14.0,-3.55%,0,2.0,2.0
122,3/6/2023 09:48:11,3/6/2023 09:50:23,SPY 230307C406,2.02,2.0,2,-4.0,-0.99%,0,2.0,2.0
123,3/6/2023 10:17:21,3/6/2023 10:17:52,SPY 230307P406,2.08,2.03,2,-10.0,-2.40%,0,2.0,2.0
124,3/7/2023 09:51:31,3/7/2023 09:55:39,SPY 230308P404,2.05,2.05,2,0.0,0.00%,1,2.0,2.0
125,3/7/2023 10:23:47,3/7/2023 10:24:35,SPY 230308P402,1.95,2.03,1,8.0,4.10%,1,1.0,1.0
126,3/7/2023 10:23:47,3/7/2023 10:24:52,SPY 230308P402,1.95,2.17,1,22.0,11.28%,1,1.0,1.0
127,3/7/2023 10:35:25,3/7/2023 10:35:49,SPY 230308P403,2.09,1.99,1,-10.0,-4.78%,0,1.0,1.0
128,3/8/2023 09:48:44,3/8/2023 09:49:02,SPY 230309P398,1.82,1.75,2,-14.0,-3.85%,0,2.0,2.0
129,3/9/2023 09:32:46,3/9/2023 09:34:03,SPY 230310C400,2.45,2.68,1,23.0,9.39%,1,1.0,1.0
130,3/9/2023 09:32:46,3/9/2023 09:34:27,SPY 230310C400,2.45,2.77,1,32.0,13.06%,1,1.0,1.0
131,3/9/2023 09:48:22,3/9/2023 09:48:54,SPY 230310P401,2.64,2.56,2,-16.0,-3.03%,0,2.0,2.0
132,3/10/2023 09:35:22,3/10/2023 09:35:29,SPY 230313C391,2.35,2.25,2,-21.0,-4.47%,0,2.0,2.0
133,3/13/2023 8:47:34 ,3/13/2023 8:47:40 ,SPY 230313P382,2.43,2.27,2,-32.0,-6.58%,0,2.0,2.0
134,3/14/2023 8:31:35 ,3/14/2023 8:31:47 ,SPY 230315P390,2.73,2.85,1,12.0,4.40%,1,1.0,1.0
135,3/14/2023 8:31:35 ,3/14/2023 8:32:01 ,SPY 230315P390,2.73,2.72,1,-1.0,-0.37%,0,1.0,1.0
136,3/14/2023 8:37:35 ,3/14/2023 8:37:50 ,SPY 230315P390,2.46,2.36,1,-10.0,-4.07%,0,1.0,1.0
137,3/14/2023 8:38:17 ,3/14/2023 8:39:11 ,SPY 230315P390,2.43,2.37,2,-12.0,-2.47%,0,2.0,2.0
